City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,City Description
0,Saint-Philippe,-21.36,55.77,69.8,77,35,6.93,RE,scattered clouds
1,Leh,34.17,77.58,64.33,24,0,4.9,IN,clear sky
2,Gualeguay,-33.14,-59.31,65.86,53,0,11.36,AR,clear sky
3,Kondapalle,16.62,80.53,77.74,91,99,2.06,IN,light rain
4,Ushuaia,-54.8,-68.3,35.6,74,40,16.11,AR,shower rain
5,Punta Arenas,-53.15,-70.92,33.8,71,75,26.4,CL,light shower snow
6,Mataura,-46.19,168.86,43.0,94,11,3.0,NZ,few clouds
7,East London,-33.02,27.91,63.21,70,75,6.53,ZA,broken clouds
8,Port Alfred,-33.59,26.89,57.78,82,8,9.42,ZA,clear sky
9,Rikitea,-23.12,-134.97,70.11,83,36,22.19,PF,scattered clouds
10,Nguruka,-5.11,31.04,71.96,39,39,2.62,TZ,scattered clouds
11,Cidreira,-30.18,-50.21,61.21,79,0,16.28,BR,clear sky
12,Kenai,60.55,-151.26,62.6,67,90,13.87,US,overcast clouds
13,Cape Town,-33.93,18.42,60.01,87,40,10.29,ZA,scattered clouds
14,Jamestown,42.1,-79.24,82.0,69,75,5.82,US,broken clouds
15,Virginia Beach,36.85,-75.98,91.0,52,75,8.05,US,broken clouds
16,Thompson,55.74,-97.86,51.8,100,90,5.82,CA,light rain
17,Okha,53.57,142.95,48.65,92,6,1.72,RU,clear sky
18,Aksu,41.12,80.26,77.76,29,0,5.03,CN,clear sky
19,Henties Bay,-22.12,14.28,55.99,88,0,5.99,NA,clear sky
20,Avarua,-21.21,-159.78,75.2,73,0,11.41,CK,clear sky
21,Bandarbeyla,9.49,50.81,76.26,76,95,32.19,SO,overcast clouds
22,College,64.86,-147.8,63.0,72,75,0.94,US,broken clouds
23,Nikolskoye,59.7,30.79,63.0,82,40,4.47,RU,scattered clouds
24,Asau,46.43,26.4,63.0,91,0,2.75,RO,clear sky
25,Sao Filipe,14.9,-24.5,79.9,80,78,4.97,CV,broken clouds
