City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,69.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
1,Leh,IN,64.33,clear sky,34.17,77.58,Hotel Ladakh Greens
2,Gualeguay,AR,65.86,clear sky,-33.14,-59.31,Cabañas Nuestro Refugio
7,East London,ZA,63.21,broken clouds,-33.02,27.91,Tu Casa
9,Rikitea,PF,70.11,scattered clouds,-23.12,-134.97,Pension Maro'i
10,Nguruka,TZ,71.96,scattered clouds,-5.11,31.04,
11,Cidreira,BR,61.21,clear sky,-30.18,-50.21,Hotel Castelo
12,Kenai,US,62.6,overcast clouds,60.55,-151.26,Aspen Extended Stay Suites
13,Cape Town,ZA,60.01,scattered clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
22,College,US,63.0,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
23,Nikolskoye,RU,63.0,scattered clouds,59.7,30.79,Tourist House - Sablino
24,Asau,RO,63.0,clear sky,46.43,26.4,Casa Mika Ciobanus
26,Port Elizabeth,ZA,60.8,broken clouds,-33.92,25.57,39 On Nile Guest House
28,Kawalu,ID,72.05,broken clouds,-7.38,108.21,KOSAN UNGU UNSIK
34,Gondanglegi,ID,73.29,clear sky,-7.75,112.01,Gg. Munasir Homestay
41,Vila Velha,BR,73.0,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
43,Longfeng,CN,65.57,light rain,46.55,125.12,Daqing Langtaosha Hotspring Holiday Resort
47,Saint-Pierre,RE,66.2,clear sky,-21.34,55.48,Lindsey Hôtel
49,Ambilobe,MG,67.26,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
52,Tunceli,TR,73.4,clear sky,39.11,39.55,Grand Hotel Şaroğlu
58,Hinton,CA,69.64,scattered clouds,53.4,-117.59,Econo Lodge & Suites
59,Ustka,PL,63.09,clear sky,54.58,16.86,Hotel Royal Baltic Luxury Boutique
61,Mar Del Plata,AR,64.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
67,Kunyang,CN,74.61,scattered clouds,27.67,120.57,Ruisite Car Hotel
72,Tuktoyaktuk,CA,62.6,scattered clouds,69.45,-133.04,End of The Road Ltd.
74,Maridi,SS,67.46,overcast clouds,4.92,29.47,
75,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
88,Juba,SS,71.6,light rain,4.85,31.58,ROYAL PALACE HOTEL - JUBA
95,Vrcin,RS,73.4,scattered clouds,44.66,20.59,Tomaš plac Kasapovac
96,Parana,AR,73.0,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
100,Waw,SS,72.84,overcast clouds,7.7,28.0,Universal Gab Hotel
